Nombre_del_Producto,Fecha,Cantidad_de_Ventas,precio_unitario_de_venta,costo_unitario_de_compra
Milk cream Quata 200gr,02/12/2023,32,1.98,1.5
Tomato Kg,02/12/2023,32,6.48,4.5
Potato kg,02/12/2023,66,4.18,3
Zucchini kg,02/12/2023,1,3.35,2.22
Cabbage kg,02/12/2023,6,1.99,1.25
Yam kg,02/12/2023,5,3.99,3.5
Green Pepper kg,02/12/2023,4,4.49,3
Carrots kg,02/12/2023,13,4.49,3
Pumpkin kg,02/12/2023,16,1.49,0.89
Oranges kg,02/12/2023,16,2.84,1.9
Garlic Kg,02/12/2023,7,23.99,16.5
Onion Kg,02/12/2023,27,2.88,1.9
Apple Kg,02/12/2023,12,5.38,3.33
Banana kg,02/12/2023,16,2.48,1.5
"Pork ""Pernil cut"" boneless kg",02/12/2023,19,15.74,8.99
Sugar Delta 5kg,02/12/2023,47,9.28,8.4
Ham kg,02/12/2023,2,20.39,13.27
Ground beef kg,02/12/2023,22,16.84,8.99
Generic Ham kg,02/12/2023,3,18.13,11.74
Bologna Confianca kg,02/12/2023,1,7,4.98
Sweet Bread kg,03/12/2023,8,8.99,1.93
Frozen Chicken kg,03/12/2023,32,6.59,5.04
Salsage kg,03/12/2023,22,6.25,4.48
Calabrezza Saussage kg,03/12/2023,2,15.35,11.36
Mozarella Cheese kg,03/12/2023,5,27.84,17.45
Dish Soap Ype Clear 500ml,03/12/2023,19,1.69,1.3
Dish Soap Ype Apple 500ml,03/12/2023,14,1.69,1.3
Dish soap Ype Neutro 500ml,03/12/2023,13,1.69,1.29
Powder juice Frech orange 10gr,03/12/2023,9,0.5,0.34
Tomato sauce Elefante 130g,03/12/2023,23,2.19,1.64
Coffee Mineiro 500gr,03/12/2023,25,5.85,4.5
Milky Drink Quatazinho Chocolate 200ml,03/12/2023,5,0.99,0.48
Fries JR Fritas 300g,03/12/2023,14,7.59,5.8
Coffee Mantiqueira 500g,03/12/2023,26,7.59,5.82
Coffee Santa Barbara kg,03/12/2023,34,5.99,4.77
Corn Flour Mimoso 1kg,03/12/2023,59,1.89,1.4
Beer Clacial 473ml,03/12/2023,10,1.99,1.99
Salt Marlin 1kg,03/12/2023,79,1.15,0.77
Soy Oil Soya 900ml,03/12/2023,17,4.09,3.54
Wheat Flour Vilma 1kg,03/12/2023,81,3.69,3
"Beef ""Acem cut"" kg",03/12/2023,7,23.35,15.36
Bologna Bolonha kg,03/12/2023,2,16.99,11.09
Beer Skol 473ml,03/12/2023,32,2.89,2.62
Corn Flour Moinho Dagua 1kg,03/12/2023,3,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,03/12/2023,8,7.08,4.38
Soda Coca Cola 2lt,03/12/2023,1,6.45,5.84
Common Bread kg,03/12/2023,60,7.99,4.09
Milk cream Quata 200gr,03/12/2023,19,1.99,1.5
Tomato Kg,03/12/2023,68,6.49,4.5
Potato kg,03/12/2023,161,4.19,3
Zucchini kg,03/12/2023,17,3.35,2
Cabbage kg,03/12/2023,23,2.49,1.66
Beetroot kg,03/12/2023,12,3.75,2.5
Yam kg,03/12/2023,19,3.99,3.5
Green Pepper kg,03/12/2023,6,4.49,3
Sweet potato kg,03/12/2023,11,2.99,1.9
Carrots kg,03/12/2023,28,4.89,3.25
Pumpkin kg,03/12/2023,31,1.49,0.89
Oranges kg,03/12/2023,43,2.85,1.9
Garlic Kg,03/12/2023,19,23.97,18
Onion Kg,03/12/2023,41,2.89,1.9
Apple Kg,03/12/2023,18,5.39,3.33
Banana kg,03/12/2023,21,2.49,1.5
Lettuce kg,03/12/2023,36,1.3,0.85
"Pork ""Pernil cut"" boneless kg",03/12/2023,6,15.79,11.45
Sugar Delta 5kg,03/12/2023,129,9.29,8.4
Ham kg,03/12/2023,3,20.42,13.27
Ground beef kg,03/12/2023,12,16.92,8.99
Generic Ham kg,03/12/2023,2,18.25,11.74
Bologna Confianca kg,03/12/2023,2,6.98,4.98
Sweet Bread kg,04/12/2023,5,8.99,1.93
Frozen Chicken kg,04/12/2023,30,6.59,5.04
Salsage kg,04/12/2023,17,6.25,4.48
Calabrezza Saussage kg,04/12/2023,4,15.35,11.36
Mozarella Cheese kg,04/12/2023,5,27.99,17.45
Dish Soap Ype Apple 500ml,04/12/2023,16,1.69,1.3
Rice Albaruska Pilao 5kg,04/12/2023,12,17.55,15.83
Powder juice Frech orange 10gr,04/12/2023,23,0.5,0.34
Tomato sauce Elefante 130g,04/12/2023,3,2.19,1.64
Coffee Mineiro 500gr,04/12/2023,15,5.85,4.5
Milky Drink Quatazinho Chocolate 200ml,04/12/2023,7,0.99,0.48
Fries JR Fritas 300g,04/12/2023,8,7.59,5.8
Coffee Mantiqueira 500g,04/12/2023,20,7.59,5.82
Coffee Santa Barbara kg,04/12/2023,4,5.99,4.77
Corn Flour Mimoso 1kg,04/12/2023,19,1.89,1.4
Beer Clacial 473ml,04/12/2023,7,1.99,1.99
Salt Marlin 1kg,04/12/2023,31,1.15,0.77
Soy Oil Soya 900ml,04/12/2023,11,4.09,3.54
Wheat Flour Vilma 1kg,04/12/2023,26,3.69,3
"Beef ""Acem cut"" kg",04/12/2023,8,23.35,15.47
Bologna Bolonha kg,04/12/2023,3,16.99,11.09
Beer Skol 473ml,04/12/2023,44,2.89,2.55
Corn Flour Moinho Dagua 1kg,04/12/2023,29,3.99,2.5
Soda Coca Cola 2lt,04/12/2023,2,6.45,5.84
Common Bread kg,04/12/2023,58,8,4.14
Milk cream Quata 200gr,04/12/2023,25,1.99,1.5
Tomato Kg,04/12/2023,41,6.49,4.5
Potato kg,04/12/2023,88,4.19,3
Zucchini kg,04/12/2023,2,3.35,1.94
Cabbage kg,04/12/2023,18,2.49,1.42
Beetroot kg,04/12/2023,8,3.75,2.3
Yam kg,04/12/2023,17,3.99,2.71
Green Pepper kg,04/12/2023,3,4.49,3
Sweet potato kg,04/12/2023,7,2.99,1.9
Carrots kg,04/12/2023,24,4.89,3.02
Pumpkin kg,04/12/2023,42,1.49,0.89
Oranges kg,04/12/2023,42,2.85,1.9
Garlic Kg,04/12/2023,11,23.99,18
Onion Kg,04/12/2023,28,2.89,1.9
Apple Kg,04/12/2023,21,5.39,3.33
Banana kg,04/12/2023,26,2.49,1.5
Lettuce kg,04/12/2023,35,1.3,0.85
"Pork ""Pernil cut"" boneless kg",04/12/2023,10,15.79,12.63
Sugar Delta 5kg,04/12/2023,59,9.29,8.4
Ham kg,04/12/2023,2,20.49,13.27
Ground beef kg,04/12/2023,9,16.99,8.85
Generic Ham kg,04/12/2023,4,18.25,11.74
Bologna Confianca kg,04/12/2023,3,6.99,4.98
Sweet Bread kg,05/12/2023,9,8.99,1.93
Frozen Chicken kg,05/12/2023,45,6.59,5.04
Salsage kg,05/12/2023,24,6.25,4.48
Calabrezza Saussage kg,05/12/2023,2,15.35,11.36
Mozarella Cheese kg,05/12/2023,3,27.94,17.45
Dish Soap Ype Apple 500ml,05/12/2023,19,1.69,1.3
Rice Albaruska Pilao 5kg,05/12/2023,15,17.55,15.83
Powder juice Frech orange 10gr,05/12/2023,18,0.5,0.34
Tomato sauce Elefante 130g,05/12/2023,3,2.19,1.64
Coffee Mineiro 500gr,05/12/2023,37,5.85,4.5
Milky Drink Quatazinho Chocolate 200ml,05/12/2023,1,0.99,0.48
Fries JR Fritas 300g,05/12/2023,7,7.59,5.8
Coffee Mantiqueira 500g,05/12/2023,11,7.59,5.82
Coffee Santa Barbara kg,05/12/2023,12,5.99,4.77
Chicken Steak Perdigao 100gr,05/12/2023,35,1.28,0.99
Corn Flour Mimoso 1kg,05/12/2023,48,1.89,1.4
Beer Clacial 473ml,05/12/2023,27,1.99,1.99
Salt Marlin 1kg,05/12/2023,38,1.15,0.77
Soy Oil Soya 900ml,05/12/2023,16,4.09,3.54
Wheat Flour Vilma 1kg,05/12/2023,33,3.69,3
"Beef ""Acem cut"" kg",05/12/2023,11,23.35,15.75
Bologna Bolonha kg,05/12/2023,3,16.99,11.09
Beer Skol 473ml,05/12/2023,29,2.89,2.53
Corn Flour Moinho Dagua 1kg,05/12/2023,25,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,05/12/2023,11,6.44,4.38
Common Bread kg,05/12/2023,61,8,4.41
Milk cream Quata 200gr,05/12/2023,15,1.99,1.5
Tomato Kg,05/12/2023,43,6.49,4.5
Potato kg,05/12/2023,116,4.19,3
Cabbage kg,05/12/2023,15,2.49,1.38
Beetroot kg,05/12/2023,1,3.75,2.25
Yam kg,05/12/2023,13,3.99,2.5
Green Pepper kg,05/12/2023,2,4.49,3
Sweet potato kg,05/12/2023,1,2.99,1.9
Carrots kg,05/12/2023,17,4.89,3
Pumpkin kg,05/12/2023,33,1.49,0.89
Oranges kg,05/12/2023,38,2.85,1.9
Garlic Kg,05/12/2023,17,23.98,18
Onion Kg,05/12/2023,27,2.89,1.9
Apple Kg,05/12/2023,18,5.39,3.33
Banana kg,05/12/2023,8,2.49,1.5
Lettuce kg,05/12/2023,36,1.3,0.85
"Pork ""Pernil cut"" boneless kg",05/12/2023,6,15.79,12.63
Sugar Delta 5kg,05/12/2023,76,9.29,8.4
Ham kg,05/12/2023,1,20.49,13.27
Ground beef kg,05/12/2023,11,16.99,8.49
Generic Ham kg,05/12/2023,2,18.25,11.74
Bologna Confianca kg,05/12/2023,4,6.99,4.98
Sweet Bread kg,06/12/2023,7,8.98,1.93
Frozen Chicken kg,06/12/2023,36,6.59,5.04
Salsage kg,06/12/2023,19,6.24,4.48
Calabrezza Saussage kg,06/12/2023,6,15.35,11.36
Mozarella Cheese kg,06/12/2023,5,27.93,17.45
Dish Soap Ype Apple 500ml,06/12/2023,25,1.69,1.33
Rice Albaruska Pilao 5kg,06/12/2023,12,17.55,15.83
Powder juice Frech orange 10gr,06/12/2023,4,0.5,0.34
Tomato sauce Elefante 130g,06/12/2023,1,2.19,1.64
Coffee Mineiro 500gr,06/12/2023,10,5.85,4.5
Fries JR Fritas 300g,06/12/2023,10,7.56,5.8
Coffee Mantiqueira 500g,06/12/2023,15,7.59,5.82
Coffee Santa Barbara kg,06/12/2023,17,5.99,4.77
Chicken Steak Perdigao 100gr,06/12/2023,32,1.34,0.99
Corn Flour Mimoso 1kg,06/12/2023,50,1.89,1.4
Beer Clacial 473ml,06/12/2023,27,1.95,1.99
Salt Marlin 1kg,06/12/2023,42,1.15,0.77
Soy Oil Soya 900ml,06/12/2023,14,4.09,3.54
Wheat Flour Vilma 1kg,06/12/2023,16,3.69,3
"Beef ""Acem cut"" kg",06/12/2023,11,23.35,15.75
Bologna Bolonha kg,06/12/2023,3,16.9,11.09
Beer Skol 473ml,06/12/2023,32,2.89,2.53
Corn Flour Moinho Dagua 1kg,06/12/2023,28,3.98,2.5
Soda Coca Cola 2lt reciclable bottle,06/12/2023,8,6.6,4.38
Common Bread kg,06/12/2023,67,8,4.41
Milk cream Quata 200gr,06/12/2023,22,1.99,1.5
Tomato Kg,06/12/2023,58,5.03,3.53
Potato kg,06/12/2023,89,3.41,2.42
Zucchini kg,06/12/2023,9,2.09,1.38
Cabbage kg,06/12/2023,11,2.09,1.38
Beetroot kg,06/12/2023,10,3.75,2.25
Yam kg,06/12/2023,19,3.99,2.5
Green Pepper kg,06/12/2023,7,5.94,3.97
Sweet potato kg,06/12/2023,21,2.99,1.9
Carrots kg,06/12/2023,15,5.28,3.48
Pumpkin kg,06/12/2023,38,1.49,0.89
Oranges kg,06/12/2023,34,2.85,1.9
Garlic Kg,06/12/2023,14,23.99,18
Onion Kg,06/12/2023,26,2.89,1.9
Apple Kg,06/12/2023,17,5.39,3.33
Banana kg,06/12/2023,34,2.49,1.5
Lettuce kg,06/12/2023,36,1.3,0.85
"Pork ""Pernil cut"" boneless kg",06/12/2023,11,15.79,12.63
Sugar Delta 5kg,06/12/2023,45,9.29,8.4
Ham kg,06/12/2023,5,20.45,13.27
Ground beef kg,06/12/2023,12,16.99,8.49
Generic Ham kg,06/12/2023,1,17.99,11.74
Bologna Confianca kg,06/12/2023,3,6.99,4.98
Sweet Bread kg,07/12/2023,5,8.99,1.93
Frozen Chicken kg,07/12/2023,25,6.59,5.04
Salsage kg,07/12/2023,10,6.25,4.48
Calabrezza Saussage kg,07/12/2023,1,15.35,11.36
Mozarella Cheese kg,07/12/2023,6,27.96,17.45
Dish Soap Ype Clear 500ml,07/12/2023,8,1.94,1.49
Dish Soap Ype Apple 500ml,07/12/2023,20,1.95,1.49
Rice Albaruska Pilao 5kg,07/12/2023,12,17.51,15.83
Powder juice Frech orange 10gr,07/12/2023,14,0.5,0.34
Tomato sauce Elefante 130g,07/12/2023,14,2.17,1.64
Coffee Mineiro 500gr,07/12/2023,14,5.84,4.5
Fries JR Fritas 300g,07/12/2023,12,7.59,5.8
Coffee Mantiqueira 500g,07/12/2023,18,7.59,5.82
Coffee Santa Barbara kg,07/12/2023,14,5.99,4.77
Chicken Steak Perdigao 100gr,07/12/2023,21,1.35,0.99
Corn Flour Mimoso 1kg,07/12/2023,18,1.89,1.4
Beer Clacial 473ml,07/12/2023,30,1.96,1.99
Salt Marlin 1kg,07/12/2023,22,1.15,0.77
Soy Oil Soya 900ml,07/12/2023,14,4.09,3.54
Wheat Flour Vilma 1kg,07/12/2023,32,3.69,2.97
"Beef ""Acem cut"" kg",07/12/2023,14,23.35,15.75
Bologna Bolonha kg,07/12/2023,1,17,11.09
Beer Skol 473ml,07/12/2023,48,2.87,2.53
Corn Flour Moinho Dagua 1kg,07/12/2023,19,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,07/12/2023,11,6.69,4.38
Soda Coca Cola 2lt,07/12/2023,1,6.45,5.84
Common Bread kg,07/12/2023,63,8,4.41
Milk cream Quata 200gr,07/12/2023,16,1.99,1.5
Tomato Kg,07/12/2023,57,4.99,3.5
Potato kg,07/12/2023,98,3.39,2.4
Zucchini kg,07/12/2023,12,2.09,1.38
Cabbage kg,07/12/2023,9,2.09,1.38
Beetroot kg,07/12/2023,6,3.75,2.36
Yam kg,07/12/2023,14,3.99,2.5
Green Pepper kg,07/12/2023,3,5.99,4
Sweet potato kg,07/12/2023,8,2.99,1.9
Carrots kg,07/12/2023,18,5.29,3.5
Pumpkin kg,07/12/2023,27,1.49,0.89
Oranges kg,07/12/2023,35,2.85,1.9
Garlic Kg,07/12/2023,10,23.98,18
Onion Kg,07/12/2023,28,2.89,1.9
Apple Kg,07/12/2023,15,5.38,3.33
Banana kg,07/12/2023,44,2.49,1.5
Lettuce kg,07/12/2023,35,1.3,0.85
"Pork ""Pernil cut"" boneless kg",07/12/2023,6,15.79,11.31
Sugar Delta 5kg,07/12/2023,37,9.29,8.4
Ham kg,07/12/2023,3,20.49,13.27
Ground beef kg,07/12/2023,8,16.98,8.49
Generic Ham kg,07/12/2023,0,18.24,11.74
Bologna Confianca kg,07/12/2023,3,6.99,4.98
Sweet Bread kg,08/12/2023,7,8.99,2.03
Frozen Chicken kg,08/12/2023,90,6.58,5.04
Salsage kg,08/12/2023,28,6.24,4.48
Calabrezza Saussage kg,08/12/2023,11,15.28,11.36
Mozarella Cheese kg,08/12/2023,10,27.79,17.45
Dish Soap Ype Clear 500ml,08/12/2023,12,1.95,1.49
Dish Soap Ype Apple 500ml,08/12/2023,8,1.95,1.49
Dish soap Ype Neutro 500ml,08/12/2023,5,1.95,1.49
Rice Albaruska Pilao 5kg,08/12/2023,13,17.55,15.83
Powder juice Frech orange 10gr,08/12/2023,11,0.5,0.34
Tomato sauce Elefante 130g,08/12/2023,5,2.19,1.64
Coffee Mineiro 500gr,08/12/2023,22,5.85,4.5
Instant Pasta Nissin Chicken 85gr,08/12/2023,1,1.55,1.13
Milky Drink Quatazinho Chocolate 200ml,08/12/2023,11,0.99,0.48
Fries JR Fritas 300g,08/12/2023,23,7.56,5.8
Coffee Mantiqueira 500g,08/12/2023,13,7.59,5.82
Coffee Santa Barbara kg,08/12/2023,12,5.99,4.77
Chicken Steak Perdigao 100gr,08/12/2023,17,1.35,0.99
Corn Flour Mimoso 1kg,08/12/2023,18,1.89,1.4
Beer Clacial 473ml,08/12/2023,44,1.99,1.99
Salt Marlin 1kg,08/12/2023,27,1.15,0.77
Soy Oil Soya 900ml,08/12/2023,25,4.09,3.54
Wheat Flour Vilma 1kg,08/12/2023,20,3.69,2.97
"Beef ""Acem cut"" kg",08/12/2023,19,23.33,15.75
Bologna Bolonha kg,08/12/2023,2,16.99,11.09
Beer Skol 473ml,08/12/2023,156,2.87,2.59
Corn Flour Moinho Dagua 1kg,08/12/2023,27,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,08/12/2023,36,6.72,4.38
Soda Coca Cola 2lt,08/12/2023,3,6.45,5.84
Common Bread kg,08/12/2023,82,7.99,4.41
Milk cream Quata 200gr,08/12/2023,10,1.96,1.5
Tomato Kg,08/12/2023,60,4.99,3.5
Potato kg,08/12/2023,114,3.38,2.4
Zucchini kg,08/12/2023,8,2.09,1.38
Cabbage kg,08/12/2023,11,2.09,1.38
Beetroot kg,08/12/2023,13,3.75,2.5
Yam kg,08/12/2023,11,3.99,2.5
Green Pepper kg,08/12/2023,8,5.98,4
Sweet potato kg,08/12/2023,9,2.99,1.9
Carrots kg,08/12/2023,24,5.28,3.5
Pumpkin kg,08/12/2023,25,1.48,0.89
Oranges kg,08/12/2023,24,2.85,1.9
Garlic Kg,08/12/2023,11,23.98,18
Onion Kg,08/12/2023,33,2.88,1.9
Apple Kg,08/12/2023,29,5.39,3.33
Banana kg,08/12/2023,32,2.49,1.5
Lettuce kg,08/12/2023,35,1.3,0.85
"Pork ""Pernil cut"" boneless kg",08/12/2023,22,15.78,11.31
Sugar Delta 5kg,08/12/2023,33,9.28,8.4
Ham kg,08/12/2023,4,20.49,13.27
Ground beef kg,08/12/2023,33,16.94,8.49
Generic Ham kg,08/12/2023,7,18.07,11.74
Bologna Confianca kg,08/12/2023,4,6.98,4.98
Sweet Bread kg,09/12/2023,7,8.99,2.09
Frozen Chicken kg,09/12/2023,13,6.59,5.04
Salsage kg,09/12/2023,14,6.25,4.48
Calabrezza Saussage kg,09/12/2023,3,15.35,11.36
Mozarella Cheese kg,09/12/2023,6,27.92,17.45
Dish Soap Ype Clear 500ml,09/12/2023,1,1.95,1.49
Dish Soap Ype Apple 500ml,09/12/2023,2,1.95,1.49
Rice Albaruska Pilao 5kg,09/12/2023,6,17.55,15.83
Powder juice Frech orange 10gr,09/12/2023,12,0.5,0.34
Tomato sauce Elefante 130g,09/12/2023,2,2.19,1.64
Coffee Mineiro 500gr,09/12/2023,16,5.85,4.5
Fries JR Fritas 300g,09/12/2023,18,7.56,5.8
Coffee Mantiqueira 500g,09/12/2023,9,7.59,5.82
Coffee Santa Barbara kg,09/12/2023,2,5.99,4.77
Chicken Steak Perdigao 100gr,09/12/2023,3,1.24,0.99
Corn Flour Mimoso 1kg,09/12/2023,13,1.89,1.4
Beer Clacial 473ml,09/12/2023,12,1.91,1.99
Salt Marlin 1kg,09/12/2023,16,1.15,0.77
Soy Oil Soya 900ml,09/12/2023,6,4.09,3.54
Wheat Flour Vilma 1kg,09/12/2023,7,3.69,2.97
"Beef ""Acem cut"" kg",09/12/2023,8,23.35,15.75
Bologna Bolonha kg,09/12/2023,2,16.99,11.09
Beer Skol 473ml,09/12/2023,71,2.89,2.62
Corn Flour Moinho Dagua 1kg,09/12/2023,2,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,09/12/2023,17,6.19,4.38
Soda Coca Cola 2lt,09/12/2023,12,6.45,5.84
Common Bread kg,09/12/2023,56,7.97,4.41
Tomato Kg,09/12/2023,42,4.99,3.5
Potato kg,09/12/2023,74,3.38,2.4
Zucchini kg,09/12/2023,2,2.09,1.38
Cabbage kg,09/12/2023,13,2.09,1.38
Beetroot kg,09/12/2023,3,3.75,2.5
Yam kg,09/12/2023,4,3.99,2.5
Green Pepper kg,09/12/2023,6,5.98,4
Sweet potato kg,09/12/2023,10,2.99,1.9
Carrots kg,09/12/2023,15,5.28,3.5
Pumpkin kg,09/12/2023,19,1.49,0.89
Oranges kg,09/12/2023,10,2.85,1.9
Garlic Kg,09/12/2023,4,23.99,18
Onion Kg,09/12/2023,21,2.87,1.9
Apple Kg,09/12/2023,18,5.39,3.33
Banana kg,09/12/2023,17,2.49,1.5
Lettuce kg,09/12/2023,1,1.3,0.85
"Pork ""Pernil cut"" boneless kg",09/12/2023,6,15.79,11.31
Sugar Delta 5kg,09/12/2023,23,9.29,8.4
Ham kg,09/12/2023,4,20.49,13.27
Ground beef kg,09/12/2023,15,16.8,8.49
Generic Ham kg,09/12/2023,3,18.15,11.74
Bologna Confianca kg,09/12/2023,5,6.99,4.98
Sweet Bread kg,10/12/2023,9,8.99,2.09
Frozen Chicken kg,10/12/2023,27,6.59,5.04
Salsage kg,10/12/2023,13,6.25,4.48
Calabrezza Saussage kg,10/12/2023,6,15.35,11.36
Mozarella Cheese kg,10/12/2023,3,27.61,17.45
Dish Soap Ype Clear 500ml,10/12/2023,13,1.95,1.49
Dish Soap Ype Apple 500ml,10/12/2023,15,1.95,1.49
Dish soap Ype Neutro 500ml,10/12/2023,12,1.94,1.49
Rice Albaruska Pilao 5kg,10/12/2023,25,17.55,15.83
Powder juice Frech orange 10gr,10/12/2023,22,0.5,0.34
Tomato sauce Elefante 130g,10/12/2023,17,2.19,1.64
Coffee Mineiro 500gr,10/12/2023,17,5.85,4.5
Instant Pasta Nissin Chicken 85gr,10/12/2023,10,1.55,1.13
Milky Drink Quatazinho Chocolate 200ml,10/12/2023,2,0.99,0.48
Fries JR Fritas 300g,10/12/2023,8,7.59,5.8
Coffee Mantiqueira 500g,10/12/2023,28,7.59,5.82
Coffee Santa Barbara kg,10/12/2023,10,5.99,4.77
Chicken Steak Perdigao 100gr,10/12/2023,27,1.35,0.99
Corn Flour Mimoso 1kg,10/12/2023,52,1.89,1.4
Salt Marlin 1kg,10/12/2023,29,1.15,0.77
Soy Oil Soya 900ml,10/12/2023,25,4.09,3.54
Wheat Flour Vilma 1kg,10/12/2023,33,3.69,2.97
"Beef ""Acem cut"" kg",10/12/2023,13,23.35,15.75
Bologna Bolonha kg,10/12/2023,2,16.73,11.09
Beer Skol 473ml,10/12/2023,23,2.89,2.62
Corn Flour Moinho Dagua 1kg,10/12/2023,12,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,10/12/2023,12,6.57,4.38
Soda Coca Cola 2lt,10/12/2023,22,6.45,5.84
Common Bread kg,10/12/2023,68,7.99,4.41
Milk cream Quata 200gr,10/12/2023,7,1.99,1.5
Tomato Kg,10/12/2023,52,4.99,3.5
Potato kg,10/12/2023,107,3.39,2.4
Zucchini kg,10/12/2023,6,2.13,1.41
Cabbage kg,10/12/2023,12,2.09,1.38
Beetroot kg,10/12/2023,7,3.75,2.5
Yam kg,10/12/2023,15,3.99,2.5
Green Pepper kg,10/12/2023,5,5.99,4
Sweet potato kg,10/12/2023,10,2.99,1.9
Carrots kg,10/12/2023,12,5.29,3.5
Pumpkin kg,10/12/2023,37,1.49,0.89
Oranges kg,10/12/2023,42,2.85,1.9
Garlic Kg,10/12/2023,15,23.99,18
Onion Kg,10/12/2023,32,2.88,1.9
Apple Kg,10/12/2023,30,5.39,3.33
Banana kg,10/12/2023,31,2.49,1.5
Lettuce kg,10/12/2023,34,1.3,0.85
"Pork ""Pernil cut"" boneless kg",10/12/2023,4,14.99,11.31
Sugar Delta 5kg,10/12/2023,83,9.29,8.4
Ham kg,10/12/2023,2,20.26,13.27
Ground beef kg,10/12/2023,8,16.31,8.49
Generic Ham kg,10/12/2023,2,17.96,11.74
Bologna Confianca kg,10/12/2023,4,6.99,4.98
Sweet Bread kg,11/12/2023,9,8.99,2.09
Frozen Chicken kg,11/12/2023,41,6.59,5.04
Salsage kg,11/12/2023,22,6.2,4.48
Calabrezza Saussage kg,11/12/2023,4,15.25,11.36
Mozarella Cheese kg,11/12/2023,6,27.8,17.45
Dish Soap Ype Clear 500ml,11/12/2023,14,1.95,1.49
Dish Soap Ype Apple 500ml,11/12/2023,17,1.95,1.49
Dish soap Ype Neutro 500ml,11/12/2023,13,1.95,1.49
Rice Albaruska Pilao 5kg,11/12/2023,12,17.55,15.83
Powder juice Frech orange 10gr,11/12/2023,17,0.5,0.34
Tomato sauce Elefante 130g,11/12/2023,16,2.19,1.64
Coffee Mineiro 500gr,11/12/2023,31,5.85,4.5
Instant Pasta Nissin Chicken 85gr,11/12/2023,5,1.55,1.13
Milky Drink Quatazinho Chocolate 200ml,11/12/2023,6,0.99,0.48
Fries JR Fritas 300g,11/12/2023,7,7.39,5.8
Coffee Mantiqueira 500g,11/12/2023,12,7.59,5.82
Coffee Santa Barbara kg,11/12/2023,4,5.99,4.77
Chicken Steak Perdigao 100gr,11/12/2023,23,1.35,0.99
Corn Flour Mimoso 1kg,11/12/2023,53,1.88,1.4
Salt Marlin 1kg,11/12/2023,31,1.14,0.77
Soy Oil Soya 900ml,11/12/2023,13,4.09,3.54
Wheat Flour Vilma 1kg,11/12/2023,43,3.69,2.97
"Beef ""Acem cut"" kg",11/12/2023,16,20.95,15.4
Bologna Bolonha kg,11/12/2023,2,16.63,11.09
Beer Skol 473ml,11/12/2023,38,2.89,2.55
Corn Flour Moinho Dagua 1kg,11/12/2023,19,3.99,2.5
Soda Coca Cola 2lt reciclable bottle,11/12/2023,19,6.36,4.38
Common Bread kg,11/12/2023,56,8,4.41
Milk cream Quata 200gr,11/12/2023,9,1.99,1.5
Tomato Kg,11/12/2023,42,4.98,3.5
Potato kg,11/12/2023,115,3.38,2.4
Zucchini kg,11/12/2023,11,2.49,1.66
Cabbage kg,11/12/2023,6,2.09,1.38
Beetroot kg,11/12/2023,9,3.75,2.5
Yam kg,11/12/2023,18,3.99,2.5
Green Pepper kg,11/12/2023,4,5.99,4
Sweet potato kg,11/12/2023,12,2.99,1.9
Carrots kg,11/12/2023,18,5.29,3.5
Pumpkin kg,11/12/2023,35,1.49,0.89
Oranges kg,11/12/2023,35,2.85,1.9
Garlic Kg,11/12/2023,14,23.99,18
Onion Kg,11/12/2023,32,2.89,3.55
Apple Kg,11/12/2023,25,5.39,3.33
Banana kg,11/12/2023,10,2.49,1.5
Lettuce kg,11/12/2023,33,1.3,0.85
"Pork ""Pernil cut"" boneless kg",11/12/2023,7,14.99,11.31
Sugar Delta 5kg,11/12/2023,49,9.29,8.4
Ham kg,11/12/2023,4,20.31,13.27
Ground beef kg,11/12/2023,17,15.9,8.29
Generic Ham kg,11/12/2023,2,18.25,11.74
Bologna Confianca kg,11/12/2023,4,6.99,4.98
Sweet Bread kg,12/12/2023,14,8.99,2.09
Frozen Chicken kg,12/12/2023,44,6.59,5.04
Salsage kg,12/12/2023,20,6.19,4.48
Calabrezza Saussage kg,12/12/2023,6,15.34,11.36
Mozarella Cheese kg,12/12/2023,4,27.99,17.45
Dish Soap Ype Clear 500ml,12/12/2023,31,1.95,1.49
Dish Soap Ype Apple 500ml,12/12/2023,20,1.93,1.49
Dish soap Ype Neutro 500ml,12/12/2023,13,1.95,1.49
Rice Albaruska Pilao 5kg,12/12/2023,13,17.45,15.83
Powder juice Frech orange 10gr,12/12/2023,32,0.5,0.34
Tomato sauce Elefante 130g,12/12/2023,9,2.19,1.64
Coffee Mineiro 500gr,12/12/2023,36,5.85,4.5
Instant Pasta Nissin Chicken 85gr,12/12/2023,14,1.55,1.19
Milky Drink Quatazinho Chocolate 200ml,12/12/2023,9,0.99,0.48
Fries JR Fritas 300g,12/12/2023,10,7.59,5.8
Coffee Mantiqueira 500g,12/12/2023,32,7.58,5.82
Coffee Santa Barbara kg,12/12/2023,19,5.99,4.77
Chicken Steak Perdigao 100gr,12/12/2023,6,1.35,0.99
Corn Flour Mimoso 1kg,12/12/2023,62,1.89,1.4
